kontakt_dienststelle;publizierende_organisation
Tiefbauamt;Bau- und Verkehrsdepartement
Amt für Wirtschaft und Arbeit;Departement für Wirtschaft, Soziales und Umwelt
Amt für Umwelt und Energie;Departement für Wirtschaft, Soziales und Umwelt
Gesundheitsdienste;Gesundheitsdepartement
Kantonspolizei;Justiz- und Sicherheitsdepartement
Grundbuch- und Vermessungsamt;Bau- und Verkehrsdepartement
Stadtgärtnerei;Bau- und Verkehrsdepartement
Kantons- und Stadtentwicklung;Präsidialdepartement
Bau- und Gastgewerbeinspektorat;Bau- und Gastgewerbeinspektorat
Rettung;Justiz- und Sicherheitsdepartement
S&A Basler Denkmalpflege;Bau- und Gastgewerbeinspektorat
Kantonales Laboratorium;Gesundheitsdepartement
Jugend, Familie und Sport;Erziehungsdepartement
Amt für Mobilität;Bau- und Gastgewerbeinspektorat
S&A Planungsamt;Bau- und Gastgewerbeinspektorat
Kantonales Veterinäramt;Gesundheitsdepartement
Lufthygieneamt beider Basel;Öffentlich-rechtliche Organisationen
Gemeinde Riehen;Öffentlich-rechtliche Organisationen
Staatskanzlei;Präsidialdepartement
Zentrale Dienste;Erziehungsdepartement
Statistisches Amt;Präsidialdepartement
Amt für Wald beider Basel;Öffentlich-rechtliche Organisationen
